CustomerName,Address,City,Country
Alfreds Futterkiste,Obere Str. 57,Berlin,Germany
Ana Trujillo Emparedados y helados,Avda. de la Constituci?n 2222,M?xico D.F.,Mexico
Antonio Moreno Taquer?a,Mataderos 2312,M?xico D.F.,Mexico
Around the Horn,120 Hanover Sq.,London,UK
Berglunds snabbk?p,Berguvsv?gen 8,Lule?,Sweden
Blauer See Delikatessen,Forsterstr. 57,Mannheim,Germany
Blondel p?re et fils,"24, place Kl?ber",Strasbourg,France
B?lido Comidas preparadas,"C/ Araquil, 67",Madrid,Spain
Bon app',"12, rue des Bouchers",Marseille,France
Bottom-Dollar Marketse,23 Tsawassen Blvd.,Tsawassen,Canada
B's Beverages,Fauntleroy Circus,London,UK
Cactus Comidas para llevar,Cerrito 333,Buenos Aires,Argentina
Centro comercial Moctezuma,Sierras de Granada 9993,M?xico D.F.,Mexico
Chop-suey Chinese,Hauptstr. 29,Bern,Switzerland
Com?rcio Mineiro,"Av. dos Lus?adas, 23",S?o Paulo,Brazil
Consolidated Holdings,Berkeley Gardens 12 Brewery,London,UK
Drachenblut Delikatessend,Walserweg 21,Aachen,Germany
Du monde entier,"67, rue des Cinquante Otages",Nantes,France
Eastern Connection,35 King George,London,UK
Ernst Handel,Kirchgasse 6,Graz,Austria
Familia Arquibaldo,"Rua Or?s, 92",S?o Paulo,Brazil
FISSA Fabrica Inter. Salchichas S.A.,"C/ Moralzarzal, 86",Madrid,Spain
Folies gourmandes,"184, chauss?e de Tournai",Lille,France
Folk och f? HB,?kergatan 24,Br?cke,Sweden
Frankenversand,Berliner Platz 43,M?nchen,Germany
France restauration,"54, rue Royale",Nantes,France
Franchi S.p.A.,Via Monte Bianco 34,Torino,Italy
Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,Portugal
Galer?a del gastr?nomo,"Rambla de Catalu?a, 23",Barcelona,Spain
Godos Cocina T?pica,"C/ Romero, 33",Sevilla,Spain
Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,Brazil
Great Lakes Food Market,2732 Baker Blvd.,Eugene,USA
GROSELLA-Restaurante,5? Ave. Los Palos Grandes,Caracas,Venezuela
Hanari Carnes,"Rua do Pa?o, 67",Rio de Janeiro,Brazil
HILARI?N-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Crist?bal,Venezuela
Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,USA
Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Ireland
Island Trading,Garden House Crowther Way,Cowes,UK
K?niglich Essen,Maubelstr. 90,Brandenburg,Germany
La corne d'abondance,"67, avenue de l'Europe",Versailles,France
La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,France
Laughing Bacchus Wine Cellars,1900 Oak St.,Vancouver,Canada
Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,USA
Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,Germany
Let's Stop N Shop,87 Polk St. Suite 5,San Francisco,USA
LILA-Supermercado,Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Barquisimeto,Venezuela
LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Venezuela
Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,USA
Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,Italy
Maison Dewey,Rue Joseph-Bens 532,Bruxelles,Belgium
M?re Paillarde,43 rue St. Laurent,Montr?al,Canada
Morgenstern Gesundkost,Heerstr. 22,Leipzig,Germany
North/South,South House 300 Queensbridge,London,UK
Oc?ano Atl?ntico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,Argentina
Old World Delicatessen,2743 Bering St.,Anchorage,USA
Ottilies K?seladen,Mehrheimerstr. 369,K?ln,Germany
Paris sp?cialit?s,"265, boulevard Charonne",Paris,France
Pericles Comidas cl?sicas,Calle Dr. Jorge Cash 321,M?xico D.F.,Mexico
Piccolo und mehr,Geislweg 14,Salzburg,Austria
Princesa Isabel Vinhoss,Estrada da sa?de n. 58,Lisboa,Portugal
Que Del?cia,"Rua da Panificadora, 12",Rio de Janeiro,Brazil
Queen Cozinha,"Alameda dos Can?rios, 891",S?o Paulo,Brazil
QUICK-Stop,Taucherstra?e 10,Cunewalde,Germany
Rancho grande,Av. del Libertador 900,Buenos Aires,Argentina
Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,USA
Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,Italy
Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,Brazil
Richter Supermarkt,Grenzacherweg 237,Gen?ve,Switzerland
Romero y tomillo,"Gran V?a, 1",Madrid,Spain
Sant? Gourmet,Erling Skakkes gate 78,Stavern,Norway
Save-a-lot Markets,187 Suffolk Ln.,Boise,USA
Seven Seas Imports,90 Wadhurst Rd.,London,UK
Simons bistro,Vinb?ltet 34,K?benhavn,Denmark
Sp?cialit?s du monde,"25, rue Lauriston",Paris,France
Split Rail Beer & Ale,P.O. Box 555,Lander,USA
Supr?mes d?lices,"Boulevard Tirou, 255",Charleroi,Belgium
The Big Cheese,89 Jefferson Way Suite 2,Portland,USA
The Cracker Box,55 Grizzly Peak Rd.,Butte,USA
Toms Spezialit?ten,Luisenstr. 48,M?nster,Germany
Tortuga Restaurante,Avda. Azteca 123,M?xico D.F.,Mexico
Tradi??o Hipermercados,"Av. In?s de Castro, 414",S?o Paulo,Brazil
Trail's Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland,USA
Vaffeljernet,Smagsl?get 45,?rhus,Denmark
Victuailles en stock,"2, rue du Commerce",Lyon,France
Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,France
Die Wandernde Kuh,Adenauerallee 900,Stuttgart,Germany
Wartian Herkku,Torikatu 38,Oulu,Finland
Wellington Importadora,"Rua do Mercado, 12",Resende,Brazil
White Clover Markets,305 - 14th Ave. S. Suite 3B,Seattle,USA
Wilman Kala,Keskuskatu 45,Helsinki,Finland
Wolski,ul. Filtrowa 68,Walla,Poland
